CampID,Day,Time
2292,2,2020-07-20 06:32:07pm
2292,2,2020-07-20 06:32:27pm
2292,2,2020-07-20 06:32:30pm
2233,1,2020-07-20 06:32:30pm
2292,2,2020-07-20 06:32:31pm
2422,2,2020-07-20 06:32:32pm
2027,2,2020-07-20 06:32:46pm
2233,2,2020-07-20 06:33:09pm
2292,2,2020-07-20 06:33:17pm
3254,1,2020-07-20 06:33:29pm
2292,2,2020-07-20 06:33:39pm
2292,2,2020-07-20 06:33:41pm
2292,2,2020-07-20 06:33:45pm
2392,2,2020-07-20 06:34:11pm
5127,2,2020-07-20 06:34:53pm
3152,2,2020-07-20 06:35:17pm
3152,2,2020-07-20 06:35:26pm
5118,2,2020-07-20 06:36:11pm
9009,2,2020-07-20 06:36:57pm
2207,1,2020-07-20 06:37:15pm
2374,2,2020-07-20 06:37:18pm
3474,2,2020-07-20 06:37:20pm
2813,1,2020-07-20 06:37:40pm
2813,2,2020-07-20 06:37:44pm
2813,2,2020-07-20 06:37:55pm
5012,2,2020-07-20 06:38:41pm
2840,2,2020-07-20 06:39:10pm
2111,3,2020-07-20 06:39:26pm
2111,3,2020-07-20 06:39:30pm
2111,2,2020-07-20 06:39:33pm
2111,2,2020-07-20 06:40:12pm
3111,1,2020-07-20 06:40:21pm
3111,2,2020-07-20 06:40:38pm
2279,2,2020-07-20 06:42:07pm
2313,2,2020-07-20 06:43:18pm
2279,1,2020-07-20 06:44:14pm
2822,2,2020-07-20 06:44:27pm
3474,2,2020-07-20 06:45:27pm
2915,2,2020-07-20 06:45:31pm
2942,2,2020-07-20 06:45:36pm
2942,2,2020-07-20 06:45:48pm
2995,1,2020-07-20 06:46:02pm
2196,1,2020-07-20 06:46:04pm
2196,1,2020-07-20 06:46:09pm
2196,1,2020-07-20 06:46:12pm
2196,1,2020-07-20 06:46:45pm
2196,2,2020-07-20 06:47:09pm
2196,2,2020-07-20 06:47:25pm
2052,2,2020-07-20 06:47:30pm
2196,2,2020-07-20 06:47:46pm
2052,2,2020-07-20 06:47:59pm
2196,2,2020-07-20 06:48:06pm
2047,2,2020-07-20 06:49:23pm
2047,2,2020-07-20 06:49:28pm
2781,2,2020-07-20 06:49:29pm
2781,1,2020-07-20 06:49:39pm
1954,2,2020-07-20 06:49:44pm
1954,2,2020-07-20 06:49:50pm
2196,2,2020-07-20 06:49:54pm
1954,2,2020-07-20 06:49:54pm
2781,2,2020-07-20 06:50:04pm
2288,2,2020-07-20 06:50:40pm
2288,2,2020-07-20 06:50:46pm
2140,1,2020-07-20 06:50:47pm
2710,1,2020-07-20 06:50:52pm
2140,2,2020-07-20 06:50:54pm
2710,1,2020-07-20 06:51:07pm
2140,2,2020-07-20 06:51:07pm
2439,2,2020-07-20 06:51:10pm
2710,2,2020-07-20 06:51:26pm
2140,2,2020-07-20 06:51:34pm
2140,2,2020-07-20 06:51:38pm
2679,2,2020-07-20 06:51:43pm
2140,1,2020-07-20 06:51:50pm
2288,2,2020-07-20 06:51:59pm
2140,2,2020-07-20 06:52:12pm
2111,2,2020-07-20 06:52:19pm
2220,2,2020-07-20 06:52:23pm
2140,2,2020-07-20 06:52:30pm
2140,2,2020-07-20 06:52:34pm
2111,2,2020-07-20 06:52:48pm
2111,2,2020-07-20 06:52:56pm
2111,2,2020-07-20 06:53:01pm
2018,2,2020-07-20 06:53:07pm
2140,2,2020-07-20 06:53:13pm
2111,2,2020-07-20 06:53:24pm
2111,1,2020-07-20 06:54:04pm
